Woonplaats,State,StateFull,Constellation,Bloodtype,Pounds,Kilograms,FeetInches,Centimeters,Gender
Eindhoven,NB,Noord-Brabant,Scorpio,O+,150,68.2,"5' 9""",175,male
Diepenheim,OV,Overijssel,Pisces,A+,151.4,68.8,"5' 7""",171,female
Breugel,NB,Noord-Brabant,Virgo,AB+,155.8,70.8,"5' 0""",152,female
Groningen,GR,Groningen,Pisces,A+,170.9,77.7,"5' 5""",165,female
Haarlem,NH,Noord-Holland,Aries,A-,148.3,67.4,"5' 6""",167,male
Maastricht,LI,Limburg,Leo,O+,250.8,114,"6' 2""",187,male
Rotterdam,ZH,Zuid-Holland,Taurus,O+,159.5,72.5,"6' 2""",189,male
Enschede,OV,Overijssel,Sagittarius,O+,202,91.8,"6' 1""",185,male
Ravenstein,NB,Noord-Brabant,Taurus,A+,142.3,64.7,"5' 11""",181,male
Ede,GE,Gelderland,Sagittarius,A+,164.3,74.7,"5' 8""",172,female
Woerden,UT,Utrecht,Taurus,O+,154.4,70.2,"6' 1""",185,male
Rotterdam,ZH,Zuid-Holland,Gemini,B+,174.9,79.5,"5' 5""",166,male
Boskoop,ZH,Zuid-Holland,Pisces,O+,198.4,90.2,"5' 5""",164,female
Prinsenbeek,NB,Noord-Brabant,Pisces,O+,189.2,86,"5' 5""",164,male
Breda,NB,Noord-Brabant,Pisces,O+,132.7,60.3,"5' 1""",155,female
Rotterdam,ZH,Zuid-Holland,Virgo,O+,196.7,89.4,"5' 0""",152,female
Utrecht,UT,Utrecht,Sagittarius,O+,145.6,66.2,"5' 5""",166,female
Overasselt,GE,Gelderland,Taurus,A+,220.7,100.3,"5' 5""",165,female
Almere,FL,Flevoland,Gemini,B+,212.3,96.5,"5' 2""",158,female
Wjelsryp,FR,Friesland,Virgo,O+,214.5,97.5,"5' 5""",165,female
Vianen,UT,Utrecht,Aries,B+,147.6,67.1,"5' 5""",165,female
Haarlem,NH,Noord-Holland,Aries,A+,127.8,58.1,"4' 11""",150,female
Oss,NB,Noord-Brabant,Scorpio,AB+,185.2,84.2,"5' 5""",164,male
Rotterdam,ZH,Zuid-Holland,Virgo,A+,199.1,90.5,"5' 7""",170,male
Abbenes,NH,Noord-Holland,Scorpio,B+,232.8,105.8,"5' 11""",181,male
Utrecht,UT,Utrecht,Pisces,AB+,204.6,93,"5' 9""",176,male
Dieren,GE,Gelderland,Aries,B+,108.5,49.3,"5' 4""",163,female
Wergea,FR,Friesland,Virgo,O+,181.5,82.5,"5' 7""",170,male
Zeist,UT,Utrecht,Cancer,O+,184.8,84,"5' 6""",167,female
Roosendaal,NB,Noord-Brabant,Sagittarius,B+,211.2,96,"5' 4""",162,female
Voorburg,ZH,Zuid-Holland,Capricorn,A+,166.1,75.5,"5' 8""",173,female
s-Hertogenbosch,NB,Noord-Brabant,Libra,A+,115.3,52.4,"5' 6""",168,female
Vlissingen,ZE,Zeeland,Aquarius,A-,180.2,81.9,"5' 3""",160,female
Leiden,ZH,Zuid-Holland,Leo,B+,190.3,86.5,"5' 3""",160,female
Landgraaf,LI,Limburg,Aries,A+,206.6,93.9,"5' 11""",180,male
Apeldoorn,GE,Gelderland,Gemini,B+,194.7,88.5,"5' 0""",152,female
Weerselo,OV,Overijssel,Cancer,B+,138.6,63,"5' 9""",174,female
Odoornerveen,DR,Drenthe,Aries,O+,156.4,71.1,"5' 1""",154,female
Warnsveld,GE,Gelderland,Sagittarius,O+,200.6,91.2,"5' 9""",174,female
Arnhem,GE,Gelderland,Capricorn,A-,193.6,88,"5' 1""",155,female
Den Haag,ZH,Zuid-Holland,Gemini,O+,192.7,87.6,"5' 9""",174,female
Emmen,DR,Drenthe,Leo,B+,145.6,66.2,"5' 11""",180,male
Schiedam,ZH,Zuid-Holland,Leo,B+,144.3,65.6,"6' 0""",183,male
Gouda,ZH,Zuid-Holland,Pisces,B+,214.1,97.3,"6' 1""",185,male
Den Dolder,UT,Utrecht,Taurus,O+,212.1,96.4,"6' 0""",182,male
Dordrecht,ZH,Zuid-Holland,Sagittarius,B+,204.8,93.1,"5' 4""",162,female
Purmerend,NH,Noord-Holland,Aquarius,B+,130.9,59.5,"5' 5""",164,female
Zandvoort,NH,Noord-Holland,Capricorn,A-,189.6,86.2,"6' 1""",185,male
Alphen aan den Rijn,ZH,Zuid-Holland,Pisces,O-,203.7,92.6,"5' 1""",154,female
Nijega,FR,Friesland,Leo,B+,210.3,95.6,"5' 6""",167,male
Lauwersoog,GR,Groningen,Scorpio,A-,192.9,87.7,"5' 5""",165,male
Panningen,LI,Limburg,Leo,A+,142.8,64.9,"5' 6""",167,female
Rotterdam,ZH,Zuid-Holland,Virgo,O+,136.2,61.9,"6' 3""",190,male
Hoogezand,GR,Groningen,Aries,A+,225.7,102.6,"5' 10""",179,male
Rijsenhout,NH,Noord-Holland,Aquarius,O+,204.6,93,"5' 6""",168,female
Amsterdam,NH,Noord-Holland,Aries,O+,223.7,101.7,"5' 3""",161,female
Rotterdam,ZH,Zuid-Holland,Libra,A+,127.4,57.9,"5' 3""",160,female
Tegelen,LI,Limburg,Scorpio,O+,167.2,76,"5' 7""",170,male
Sittard,LI,Limburg,Libra,O+,226.2,102.8,"5' 6""",167,male
Nederweert,LI,Limburg,Taurus,AB+,152.7,69.4,"5' 10""",178,male
Amsterdam,NH,Noord-Holland,Capricorn,B+,242,110,"6' 0""",182,male
Raamsdonksveer,NB,Noord-Brabant,Libra,O+,229.2,104.2,"5' 10""",177,male
Schiedam,ZH,Zuid-Holland,Capricorn,B-,172.3,78.3,"5' 5""",166,male
Cuijk,NB,Noord-Brabant,Cancer,O+,150.7,68.5,"5' 5""",166,female
Kampen,OV,Overijssel,Gemini,B+,169.4,77,"5' 8""",172,female
Lith,NB,Noord-Brabant,Gemini,O+,189.9,86.3,"5' 7""",170,male
Maastricht,LI,Limburg,Sagittarius,A+,137.9,62.7,"5' 1""",156,female
Amsterdam,NH,Noord-Holland,Sagittarius,B+,176.7,80.3,"6' 1""",185,male
Den Haag,ZH,Zuid-Holland,Libra,O+,117.3,53.3,"5' 5""",166,female
Nieuwkuijk,NB,Noord-Brabant,Scorpio,O+,123.4,56.1,"5' 7""",170,female
Landgraaf,LI,Limburg,Libra,O+,119.9,54.5,"5' 2""",157,female
Amsterdam,NH,Noord-Holland,Aries,O-,212.7,96.7,"5' 6""",167,female
Schijndel,NB,Noord-Brabant,Leo,A+,154.7,70.3,"5' 5""",166,female
Capelle aan den IJssel,ZH,Zuid-Holland,Capricorn,A+,240,109.1,"6' 0""",183,male
Rotterdam,ZH,Zuid-Holland,Pisces,A+,170.1,77.3,"5' 9""",174,male
Amsterdam-Zuidoost,NH,Noord-Holland,Libra,A+,224.4,102,"5' 5""",166,male
Deurne,NB,Noord-Brabant,Aries,O+,162.8,74,"5' 10""",178,male
Etten-Leur,NB,Noord-Brabant,Capricorn,O+,152,69.1,"5' 9""",176,male
Stadskanaal,GR,Groningen,Cancer,B+,154.9,70.4,"5' 0""",152,female
Ruurlo,GE,Gelderland,Sagittarius,A+,163,74.1,"5' 9""",176,male
Den Haag,ZH,Zuid-Holland,Capricorn,B+,246.4,112,"6' 0""",183,male
Vredepeel,LI,Limburg,Taurus,O+,182.8,83.1,"5' 9""",176,male
Zuidlaren,DR,Drenthe,Aquarius,O+,164.1,74.6,"5' 5""",166,male
Helmond,NB,Noord-Brabant,Libra,A-,165.4,75.2,"5' 10""",178,male
Deurningen,OV,Overijssel,Sagittarius,AB+,198.7,90.3,"5' 4""",163,female
Andel,NB,Noord-Brabant,Sagittarius,B-,113.3,51.5,"5' 0""",152,female
Doetinchem,GE,Gelderland,Cancer,O+,204.6,93,"6' 0""",183,male
Eindhoven,NB,Noord-Brabant,Capricorn,A+,206.1,93.7,"5' 2""",157,female
Sittard,LI,Limburg,Taurus,B+,146.5,66.6,"6' 1""",185,male
Dussen,NB,Noord-Brabant,Aries,O+,140.6,63.9,"6' 0""",182,male
Amsterdam,NH,Noord-Holland,Pisces,B+,144.5,65.7,"5' 5""",166,female
Berg en Dal,GE,Gelderland,Capricorn,O+,225.9,102.7,"5' 4""",162,female
Sint Jacobiparochie,FR,Friesland,Aquarius,O+,169.4,77,"5' 1""",156,female
Eerbeek,GE,Gelderland,Pisces,O+,218.2,99.2,"6' 2""",189,male
Huissen,GE,Gelderland,Gemini,O+,214.3,97.4,"5' 7""",171,male
Swifterbant,FL,Flevoland,Aries,O+,158.6,72.1,"6' 1""",186,male
Blokzijl,OV,Overijssel,Sagittarius,O-,132.4,60.2,"5' 5""",166,female
Den Haag,ZH,Zuid-Holland,Leo,A+,218.2,99.2,"5' 4""",162,male
Waddinxveen,ZH,Zuid-Holland,Taurus,B+,173.6,78.9,"5' 7""",169,male
Lienden,GE,Gelderland,Aquarius,B+,236.3,107.4,"5' 10""",179,male
Ter Heijde,ZH,Zuid-Holland,Libra,O-,231.2,105.1,"5' 7""",171,male
Den Helder,NH,Noord-Holland,Aries,O+,196.9,89.5,"5' 0""",153,female
Boxmeer,NB,Noord-Brabant,Taurus,O+,167.6,76.2,"5' 9""",175,male
Soest,UT,Utrecht,Aquarius,AB+,111.5,50.7,"5' 4""",162,female
Vollenhove,OV,Overijssel,Libra,O+,237.2,107.8,"6' 2""",187,male
Bemmel,GE,Gelderland,Aquarius,O-,192.1,87.3,"5' 7""",169,female
Den Haag,ZH,Zuid-Holland,Aries,B-,152,69.1,"5' 3""",159,female
Boxtel,NB,Noord-Brabant,Libra,B+,174.5,79.3,"5' 3""",161,female
Barneveld,GE,Gelderland,Aries,B+,150.7,68.5,"4' 11""",151,female
Wezep,GE,Gelderland,Libra,O-,257.2,116.9,"5' 9""",176,male
Groningen,GR,Groningen,Aquarius,A+,212.3,96.5,"5' 7""",170,female
Amsterdam,NH,Noord-Holland,Taurus,A+,241.6,109.8,"6' 0""",184,male
Zetten,GE,Gelderland,Sagittarius,O+,184.6,83.9,"5' 2""",158,female
Doetinchem,GE,Gelderland,Aries,A+,217.8,99,"5' 3""",160,female
Aldeboarn,FR,Friesland,Scorpio,A+,216,98.2,"5' 1""",155,female
Lottum,LI,Limburg,Capricorn,AB+,207,94.1,"5' 10""",178,male
Mijdrecht,UT,Utrecht,Capricorn,O-,234.3,106.5,"5' 9""",174,male
Amsterdam,NH,Noord-Holland,Gemini,A+,170.7,77.6,"5' 7""",170,female
Noordwijk,ZH,Zuid-Holland,Capricorn,O+,148.3,67.4,"5' 5""",165,female
Zuidland,ZH,Zuid-Holland,Gemini,O+,233.9,106.3,"5' 10""",178,male
Rotterdam,ZH,Zuid-Holland,Libra,A+,224.6,102.1,"5' 7""",169,male
Apeldoorn,GE,Gelderland,Aquarius,A+,165.7,75.3,"5' 2""",158,female
Putten,GE,Gelderland,Gemini,B+,219.1,99.6,"5' 5""",164,female
Heel,LI,Limburg,Cancer,B+,187.9,85.4,"6' 0""",184,male
Dreischor,ZE,Zeeland,Libra,AB+,229.5,104.3,"5' 5""",165,female
Nijmegen,GE,Gelderland,Gemini,O+,179.5,81.6,"5' 4""",163,female
Hoedekenskerke,ZE,Zeeland,Capricorn,O+,172.3,78.3,"5' 7""",169,female
Dordrecht,ZH,Zuid-Holland,Libra,A+,206.4,93.8,"6' 0""",184,male
Haaren,NB,Noord-Brabant,Gemini,O+,160.8,73.1,"5' 5""",164,female
Oosterhout,NB,Noord-Brabant,Cancer,O+,160.2,72.8,"5' 1""",154,female
Hendrik-Ido-Ambacht,ZH,Zuid-Holland,Aquarius,A+,138.6,63,"5' 3""",160,female
Sassenheim,ZH,Zuid-Holland,Scorpio,O+,215.8,98.1,"5' 6""",167,female
Middelburg,ZE,Zeeland,Pisces,B+,225.3,102.4,"5' 7""",171,male
Goor,OV,Overijssel,Aquarius,O+,206.8,94,"5' 4""",162,female
Eindhoven,NB,Noord-Brabant,Cancer,O+,197.3,89.7,"5' 7""",170,female
Dordrecht,ZH,Zuid-Holland,Virgo,O+,172.5,78.4,"5' 9""",176,male
Adorp,GR,Groningen,Aquarius,B+,121,55,"5' 3""",161,female
Velserbroek,NH,Noord-Holland,Libra,A+,177.3,80.6,"5' 9""",174,female
Emmen,DR,Drenthe,Capricorn,A+,186.6,84.8,"5' 1""",155,female
Purmerend,NH,Noord-Holland,Virgo,O+,226.4,102.9,"5' 6""",167,male
Amsterdam,NH,Noord-Holland,Libra,B+,132.9,60.4,"5' 7""",169,male
Leiden,ZH,Zuid-Holland,Aries,O-,225.3,102.4,"6' 1""",186,male
Buren,GE,Gelderland,Cancer,B+,183.5,83.4,"6' 0""",182,male
Haarlem,NH,Noord-Holland,Aries,AB+,155.5,70.7,"5' 7""",170,female
Enschede,OV,Overijssel,Aries,A+,130.9,59.5,"5' 6""",167,male
Nijehaske,FR,Friesland,Virgo,B+,152.9,69.5,"6' 0""",183,male
Almere,FL,Flevoland,Gemini,B+,197.3,89.7,"5' 9""",174,female
Drogteropslagen,DR,Drenthe,Libra,B+,243.3,110.6,"5' 9""",176,male
Den Haag,ZH,Zuid-Holland,Aquarius,B+,115.5,52.5,"5' 0""",153,female
Woerden,UT,Utrecht,Aquarius,O+,148.7,67.6,"5' 6""",168,male
Hilversum,NH,Noord-Holland,Gemini,A+,136,61.8,"5' 9""",175,male
s-Heer-Hendrikskinderen,ZE,Zeeland,Taurus,O+,133.5,60.7,"5' 6""",168,male
Spaarndam,NH,Noord-Holland,Aries,B+,179.7,81.7,"5' 10""",179,male
Bronkhorst,GE,Gelderland,Leo,B+,216.5,98.4,"5' 6""",168,female
Tiel,GE,Gelderland,Scorpio,A-,163.2,74.2,"5' 5""",164,female
Amsterdam,NH,Noord-Holland,Leo,O+,171.4,77.9,"5' 1""",155,female
Heerenveen,FR,Friesland,Aries,B+,225.5,102.5,"5' 8""",172,male
Hoogland,UT,Utrecht,Aquarius,B+,177.1,80.5,"5' 4""",163,male
Boekel,NB,Noord-Brabant,Aquarius,B+,147.2,66.9,"5' 7""",169,female
Uden,NB,Noord-Brabant,Leo,O+,192.7,87.6,"5' 2""",157,female
Nootdorp,ZH,Zuid-Holland,Aries,O-,164.3,74.7,"5' 9""",174,female
Maarn,UT,Utrecht,Aries,O+,228.1,103.7,"5' 8""",172,female
Roggel,LI,Limburg,Gemini,O+,224,101.8,"5' 10""",178,male
Leimuiderbrug,NH,Noord-Holland,Virgo,AB+,170.9,77.7,"5' 2""",157,female
Oirlo,LI,Limburg,Sagittarius,O+,205,93.2,"5' 9""",174,male
Ede,GE,Gelderland,Sagittarius,A+,170.1,77.3,"5' 5""",164,female
Sint Willebrord,NB,Noord-Brabant,Sagittarius,B+,197.6,89.8,"5' 6""",167,female
Papendrecht,ZH,Zuid-Holland,Cancer,O+,217.4,98.8,"6' 0""",184,male
Woudenberg,UT,Utrecht,Leo,A+,213,96.8,"5' 9""",174,female
Rosmalen,NB,Noord-Brabant,Virgo,B+,186.3,84.7,"5' 7""",169,male
Volendam,NH,Noord-Holland,Aries,O+,248.2,112.8,"5' 9""",175,male
Sint-Oedenrode,NB,Noord-Brabant,Aries,B+,142.6,64.8,"5' 6""",167,male
Utrecht,UT,Utrecht,Taurus,O+,163.2,74.2,"5' 10""",179,male
Wijchen,GE,Gelderland,Leo,A+,119.2,54.2,"5' 9""",175,female
Wassenaar,ZH,Zuid-Holland,Capricorn,O+,148.1,67.3,"6' 1""",186,male
Rotterdam,ZH,Zuid-Holland,Taurus,O+,180.8,82.2,"5' 3""",160,female
Maastricht,LI,Limburg,Aries,B+,180.2,81.9,"5' 8""",173,female
Benschop,UT,Utrecht,Gemini,O+,178.6,81.2,"5' 4""",162,female
Utrecht,UT,Utrecht,Scorpio,O+,148.9,67.7,"5' 2""",158,female
Zoetermeer,ZH,Zuid-Holland,Capricorn,AB-,112.6,51.2,"5' 1""",156,female
Rotterdam,ZH,Zuid-Holland,Sagittarius,O+,249.7,113.5,"6' 1""",185,male
Amsterdam,NH,Noord-Holland,Libra,O+,195.4,88.8,"5' 9""",176,male
Wervershoof,NH,Noord-Holland,Virgo,O+,134.9,61.3,"5' 8""",173,male
Landgraaf,LI,Limburg,Taurus,O+,209.2,95.1,"5' 11""",180,male
Oostburg,ZE,Zeeland,Virgo,B+,189,85.9,"5' 7""",169,female
Rotterdam,ZH,Zuid-Holland,Capricorn,A+,238.9,108.6,"5' 8""",172,male
Purmerend,NH,Noord-Holland,Virgo,A+,133.1,60.5,"5' 10""",178,male
Hilversum,NH,Noord-Holland,Capricorn,AB+,200.9,91.3,"5' 7""",169,male
Bennebroek,NH,Noord-Holland,Sagittarius,B+,112,50.9,"5' 3""",160,female
Brielle,ZH,Zuid-Holland,Scorpio,AB+,130.9,59.5,"5' 11""",181,male
Meijel,LI,Limburg,Sagittarius,O+,227.9,103.6,"5' 7""",170,male
Halfweg,NH,Noord-Holland,Cancer,A+,211.6,96.2,"5' 6""",168,female
Den Haag,ZH,Zuid-Holland,Aquarius,O+,213,96.8,"5' 11""",181,male
Hendrik-Ido-Ambacht,ZH,Zuid-Holland,Cancer,A+,159.9,72.7,"5' 0""",152,female
Utrecht,UT,Utrecht,Taurus,O+,198,90,"5' 5""",166,female
Zundert,NB,Noord-Brabant,Gemini,B+,234.5,106.6,"5' 8""",172,male
Tilburg,NB,Noord-Brabant,Pisces,B+,222.9,101.3,"5' 11""",180,male
Drachten,FR,Friesland,Leo,B+,213,96.8,"5' 2""",157,female
Almelo,OV,Overijssel,Virgo,B+,208.1,94.6,"5' 10""",177,male
Heythuysen,LI,Limburg,Cancer,O+,117.3,53.3,"5' 4""",162,female
Bitgummole,FR,Friesland,Virgo,O+,145,65.9,"5' 6""",168,female
Hellevoetsluis,ZH,Zuid-Holland,Libra,AB+,158,71.8,"5' 8""",172,male
Leiden,ZH,Zuid-Holland,Cancer,A-,109.6,49.8,"5' 7""",171,female
Utrecht,UT,Utrecht,Virgo,B+,223.7,101.7,"6' 0""",183,male
IJmuiden,NH,Noord-Holland,Capricorn,O+,196.9,89.5,"5' 1""",154,female
Amsterdam,NH,Noord-Holland,Libra,B+,154,70,"5' 1""",155,female
Egmond aan Den Hoef,NH,Noord-Holland,Pisces,A+,220,100,"5' 0""",152,female
Maastricht-Airport,LI,Limburg,Scorpio,B+,209.7,95.3,"5' 8""",173,male
Hasselt,OV,Overijssel,Scorpio,O+,127.2,57.8,"5' 5""",166,female
Maartensdijk,UT,Utrecht,Pisces,O+,154,70,"5' 7""",169,female
Tilburg,NB,Noord-Brabant,Leo,B+,189,85.9,"5' 3""",159,female
Nijkerk,GE,Gelderland,Aquarius,O-,149.4,67.9,"5' 7""",170,male
Breda,NB,Noord-Brabant,Scorpio,B+,189.9,86.3,"5' 0""",152,female
Eindhoven,NB,Noord-Brabant,Aries,A-,131.3,59.7,"5' 10""",177,male
Heino,OV,Overijssel,Pisces,B+,175.6,79.8,"5' 0""",152,female
Warnsveld,GE,Gelderland,Leo,O+,139.7,63.5,"5' 7""",169,female
Amsterdam,NH,Noord-Holland,Sagittarius,A+,189.6,86.2,"4' 11""",151,female
Papendrecht,ZH,Zuid-Holland,Gemini,B+,158.2,71.9,"5' 11""",180,male
Breda,NB,Noord-Brabant,Aquarius,O-,154.4,70.2,"5' 8""",172,male
Spijkenisse,ZH,Zuid-Holland,Cancer,A+,116.4,52.9,"5' 7""",169,female
Stein,LI,Limburg,Cancer,O+,179.3,81.5,"5' 10""",177,male
Amsterdam,NH,Noord-Holland,Aquarius,O+,196.2,89.2,"6' 0""",183,male
Rotsterhaule,FR,Friesland,Capricorn,A+,144.1,65.5,"6' 0""",182,male
Delft,ZH,Zuid-Holland,Libra,O+,208.6,94.8,"5' 11""",180,male
Doetinchem,GE,Gelderland,Capricorn,AB+,165.2,75.1,"5' 10""",178,male
Helmond,NB,Noord-Brabant,Aquarius,B+,194.3,88.3,"5' 6""",167,female
Oostkapelle,ZE,Zeeland,Virgo,O+,159.9,72.7,"5' 5""",166,female
Gemert,NB,Noord-Brabant,Leo,A+,202.8,92.2,"5' 9""",174,male
Nieuwerkerk,ZE,Zeeland,Taurus,AB+,193.8,88.1,"6' 1""",185,male
Utrecht,UT,Utrecht,Pisces,O+,171.6,78,"5' 7""",171,male
Leeuwarden,FR,Friesland,Pisces,A+,228.1,103.7,"6' 2""",188,male
Rotterdam,ZH,Zuid-Holland,Libra,O+,151.4,68.8,"6' 1""",186,male
Zaandam,NH,Noord-Holland,Taurus,B+,202.8,92.2,"5' 7""",171,male
Soest,UT,Utrecht,Pisces,O+,115.5,52.5,"5' 8""",173,female
s-Hertogenbosch,NB,Noord-Brabant,Libra,A-,137.9,62.7,"6' 2""",187,male
Rosmalen,NB,Noord-Brabant,Taurus,B+,181.3,82.4,"5' 4""",163,female
Rotterdam,ZH,Zuid-Holland,Aquarius,O+,141.5,64.3,"5' 9""",176,male
Capelle aan den IJssel,ZH,Zuid-Holland,Sagittarius,O+,219.1,99.6,"5' 5""",164,female
Wezep,GE,Gelderland,Sagittarius,O+,169,76.8,"5' 1""",156,female
Gilze,NB,Noord-Brabant,Scorpio,B-,226.4,102.9,"5' 3""",161,female
Bergen op Zoom,NB,Noord-Brabant,Capricorn,B+,218.2,99.2,"5' 10""",178,male
Schimmert,LI,Limburg,Sagittarius,B+,224.4,102,"5' 1""",154,female
Wateringen,ZH,Zuid-Holland,Cancer,AB-,227.7,103.5,"6' 0""",182,male
Den Helder,NH,Noord-Holland,Cancer,B+,138.2,62.8,"6' 0""",184,male
Tilburg,NB,Noord-Brabant,Taurus,B+,180.8,82.2,"5' 10""",177,male
Lemmer,FR,Friesland,Aquarius,O+,202.6,92.1,"5' 1""",156,female
Eibergen,GE,Gelderland,Pisces,B+,128.5,58.4,"5' 5""",164,female
Hekelingen,ZH,Zuid-Holland,Aquarius,O+,228.8,104,"6' 2""",187,male
Lievelde,GE,Gelderland,Libra,O+,174.2,79.2,"6' 0""",183,male
Rotterdam,ZH,Zuid-Holland,Aquarius,O+,217.4,98.8,"5' 10""",179,male
Wassenaar,ZH,Zuid-Holland,Libra,B-,135.3,61.5,"6' 1""",186,male
Nieuwe-Tonge,ZH,Zuid-Holland,Libra,O+,219.8,99.9,"5' 10""",178,male
Hengelo,OV,Overijssel,Aries,AB+,197.6,89.8,"5' 9""",176,male
Assen,DR,Drenthe,Scorpio,B+,152.5,69.3,"6' 2""",188,male
Sittard,LI,Limburg,Taurus,O+,227.7,103.5,"5' 6""",167,female
Leiden,ZH,Zuid-Holland,Aquarius,B+,133.3,60.6,"6' 0""",182,male
Heerenveen,FR,Friesland,Aries,A-,205.7,93.5,"5' 8""",173,female
Tilburg,NB,Noord-Brabant,Capricorn,B+,193.2,87.8,"5' 8""",172,male
Oostrum,LI,Limburg,Taurus,A-,214.7,97.6,"5' 1""",154,female
Amersfoort,UT,Utrecht,Capricorn,B+,106,48.2,"5' 2""",158,female
Purmerend,NH,Noord-Holland,Virgo,AB+,125.4,57,"5' 2""",158,female
Schiedam,ZH,Zuid-Holland,Aquarius,O+,153.6,69.8,"5' 4""",163,female
Doesburg,GE,Gelderland,Capricorn,B+,209.9,95.4,"5' 11""",181,male
Kampen,OV,Overijssel,Sagittarius,O+,215.8,98.1,"5' 4""",163,female
Rolde,DR,Drenthe,Gemini,A+,186.3,84.7,"5' 9""",174,male
Arriën,OV,Overijssel,Scorpio,B+,213.6,97.1,"5' 11""",181,male
Sint-Michielsgestel,NB,Noord-Brabant,Virgo,O+,203.1,92.3,"5' 7""",171,male
Amsterdam,NH,Noord-Holland,Leo,A+,139,63.2,"5' 4""",163,female
Gemert,NB,Noord-Brabant,Aquarius,O+,176.2,80.1,"5' 1""",154,female
Assen,DR,Drenthe,Cancer,B+,201.3,91.5,"5' 1""",154,female
Amsterdam,NH,Noord-Holland,Virgo,O+,189.4,86.1,"5' 8""",173,male
Born,LI,Limburg,Sagittarius,B-,236.5,107.5,"5' 7""",169,male
Almere,FL,Flevoland,Capricorn,A+,218,99.1,"5' 10""",179,male
Berkel-Enschot,NB,Noord-Brabant,Pisces,A-,250.6,113.9,"5' 9""",176,male
IJsselstein,UT,Utrecht,Aquarius,O+,170.1,77.3,"5' 2""",158,female
Macharen,NB,Noord-Brabant,Aries,A+,189.6,86.2,"5' 10""",178,male
Hooghalen,DR,Drenthe,Aries,O+,185.9,84.5,"5' 11""",181,male
Montfoort,UT,Utrecht,Scorpio,AB+,226.2,102.8,"5' 2""",158,female
Best,NB,Noord-Brabant,Aries,O+,171.6,78,"5' 4""",163,female
Groesbeek,GE,Gelderland,Scorpio,B+,160.2,72.8,"5' 6""",167,male
Rijswijk,ZH,Zuid-Holland,Taurus,O+,198,90,"6' 0""",182,male
Laag-Keppel,GE,Gelderland,Capricorn,A+,210.1,95.5,"6' 3""",190,male
Vinkeveen,UT,Utrecht,Aries,B+,216.9,98.6,"5' 7""",170,male
Helmond,NB,Noord-Brabant,Taurus,A+,197.6,89.8,"5' 6""",168,male
Oegstgeest,ZH,Zuid-Holland,Aquarius,O-,183.7,83.5,"6' 3""",190,male
Rotterdam,ZH,Zuid-Holland,Taurus,A+,135.5,61.6,"5' 7""",169,female
Uithoorn,NH,Noord-Holland,Leo,AB+,246.4,112,"5' 7""",170,male
Rijen,NB,Noord-Brabant,Aries,O+,228.4,103.8,"6' 0""",183,male
Spijkenisse,ZH,Zuid-Holland,Taurus,O+,238.7,108.5,"5' 10""",178,male
Oldenzaal,OV,Overijssel,Capricorn,O+,158,71.8,"5' 8""",173,female
Capelle aan den IJssel,ZH,Zuid-Holland,Taurus,A-,161.9,73.6,"5' 4""",163,female
IJsselstein,UT,Utrecht,Aries,A-,220.2,100.1,"5' 10""",178,male
Wetering,OV,Overijssel,Taurus,AB-,121,55,"5' 7""",170,female
Tricht,GE,Gelderland,Leo,B+,172,78.2,"5' 2""",157,female
Raalte,OV,Overijssel,Sagittarius,O+,111.5,50.7,"5' 1""",154,female
Emmen,DR,Drenthe,Capricorn,A+,225.1,102.3,"5' 11""",180,male
Geldermalsen,GE,Gelderland,Taurus,O+,169.2,76.9,"5' 5""",166,male
Leiden,ZH,Zuid-Holland,Pisces,B+,205,93.2,"5' 6""",167,female
Winschoten,GR,Groningen,Aquarius,AB+,174.5,79.3,"6' 2""",189,male
Grubbenvorst,LI,Limburg,Aries,O+,166.8,75.8,"5' 5""",166,female
Apeldoorn,GE,Gelderland,Leo,O+,224.8,102.2,"5' 8""",172,male
Oldemarkt,OV,Overijssel,Aries,B+,173.1,78.7,"5' 4""",163,female
Enschede,OV,Overijssel,Leo,O+,155.8,70.8,"6' 0""",184,male
Bemmel,GE,Gelderland,Cancer,O+,171.6,78,"5' 4""",163,female
Voorschoten,ZH,Zuid-Holland,Cancer,AB+,131.3,59.7,"5' 0""",152,female
Ouderkerk aan de Amstel,NH,Noord-Holland,Leo,O+,141.5,64.3,"6' 1""",185,male
Nuenen,NB,Noord-Brabant,Libra,B+,150.7,68.5,"5' 7""",171,female
Rotterdam,ZH,Zuid-Holland,Scorpio,O+,202.6,92.1,"5' 9""",175,male
Basse,OV,Overijssel,Libra,O+,196.9,89.5,"6' 0""",182,male
Groningen,GR,Groningen,Sagittarius,B+,142.6,64.8,"5' 5""",164,female
Lunteren,GE,Gelderland,Aries,O+,136.8,62.2,"5' 3""",161,female
Vlissingen,ZE,Zeeland,Capricorn,O+,219.1,99.6,"5' 7""",171,female
Aalsmeer,NH,Noord-Holland,Capricorn,O+,175.1,79.6,"5' 4""",163,female
Zutphen,GE,Gelderland,Leo,B+,153.8,69.9,"5' 4""",162,female
Hattem,GE,Gelderland,Leo,A+,130.2,59.2,"5' 3""",161,female
Wormer,NH,Noord-Holland,Gemini,B-,127.4,57.9,"5' 0""",153,female
Vogelenzang,NH,Noord-Holland,Taurus,A+,195.8,89,"5' 2""",158,female
